player,position,dob,caps,club,flag,year,start_date,country,dob_dt,days_old
Ionuț Tofan,Fly-half,8 March 1977,34.0,Racing 92,France,2003,2003-10-10,Romania,1977-03-08,9712.0
Romeo Gontineac (c),Centre,18 December 1973,47.0,Aurillac,France,2003,2003-10-10,Romania,1973-12-18,10888.0
Valentin Maftei,Centre,26 September 1974,25.0,Valence,France,2003,2003-10-10,Romania,1974-09-26,10606.0
Gabriel Brezoianu,Centre,18 January 1977,42.0,Bordeaux-Bègles,France,2003,2003-10-10,Romania,1977-01-18,9761.0
Vasile Ghioc,Wing,28 February 1978,14.0,Dinamo București,Romania,2003,2003-10-10,Romania,1978-02-28,9355.0
Cătălin Nicolae,Wing,22 July 1980,2.0,Steaua București,Romania,2003,2003-10-10,Romania,1980-07-22,8480.0
Ion Teodorescu,Wing,27 July 1976,9.0,Farul Constanța,Romania,2003,2003-10-10,Romania,1976-07-27,9936.0
Bogdan Voicu,Wing,16 December 1981,1.0,Universitatea Cluj,Romania,2003,2003-10-10,Romania,1981-12-16,7968.0
Cristian Săuan,Wing,18 March 1974,15.0,Rovigo,Italy,2003,2003-10-10,Romania,1974-03-18,10798.0
Dănuț Dumbravă,Fullback,6 August 1981,7.0,Steaua București,Romania,2003,2003-10-10,Romania,1981-08-06,8100.0
Phillipus Isaacs,Hooker,8 May 1973,5.0,unknown,,2003,2003-10-10,Namibia,1973-05-08,11112.0
Johannes Meyer,Hooker,19 February 1981,2.0,unknown,,2003,2003-10-10,Namibia,1981-02-19,8268.0
Cor van Tonder,Hooker,21 March 1978,4.0,unknown,,2003,2003-10-10,Namibia,1978-03-21,9334.0
Andries Blaauw,Prop,25 March 1970,19.0,unknown,,2003,2003-10-10,Namibia,1970-03-25,12252.0
Niel du Toit,Prop,12 September 1969,2.0,unknown,,2003,2003-10-10,Namibia,1969-09-12,12446.0
Johan Jenkins,Prop,15 November 1977,2.0,unknown,,2003,2003-10-10,Namibia,1977-11-15,9460.0
Kees Lensing,Prop,1 June 1978,5.0,Leeds Tykes,England,2003,2003-10-10,Namibia,1978-06-01,9262.0
Archie Graham,Lock,20 May 1974,6.0,unknown,,2003,2003-10-10,Namibia,1974-05-20,10735.0
Eben Isaacs,Lock,16 July 1970,17.0,Reho Falcons,Namibia,2003,2003-10-10,Namibia,1970-07-16,12139.0
Heino Senekal,Lock,20 October 1975,13.0,Cornish Pirates,England,2003,2003-10-10,Namibia,1975-10-20,10217.0
Shaun van Rooi,Back row,27 October 1982,1.0,unknown,,2003,2003-10-10,Namibia,1982-10-27,7653.0
Wolfie Duvenhage,Back row,31 December 1978,8.0,unknown,,2003,2003-10-10,Namibia,1978-12-31,9049.0
Herman Lintvelt,Back row,6 September 1976,15.0,United,Namibia,2003,2003-10-10,Namibia,1976-09-06,9895.0
Schalk van der Merwe,Back row,30 August 1974,14.0,Harlequins,England,2003,2003-10-10,Namibia,1974-08-30,10633.0
Sean Furter (c),Back row,9 January 1977,13.0,United,Namibia,2003,2003-10-10,Namibia,1977-01-09,9770.0
Jurgens van Lill,Back row,23 May 1981,4.0,unknown,,2003,2003-10-10,Namibia,1981-05-23,8175.0
Hakkies Husselman,Scrum-half,3 November 1972,7.0,Western Province,South Africa,2003,2003-10-10,Namibia,1972-11-03,11298.0
Ronaldo Pedro,Scrum-half,22 August 1972,9.0,Reho Falcons,Namibia,2003,2003-10-10,Namibia,1972-08-22,11371.0
Morné Schreuder,Fly-half,5 September 1979,7.0,unknown,,2003,2003-10-10,Namibia,1979-09-05,8801.0
Emile Wessels,Fly-half,27 June 1979,3.0,unknown,,2003,2003-10-10,Namibia,1979-06-27,8871.0
Corne Powell,Centre,27 May 1974,10.0,unknown,,2003,2003-10-10,Namibia,1974-05-27,10728.0
Rudie van Vuuren,Centre,20 September 1972,14.0,Wanderers,Namibia,2003,2003-10-10,Namibia,1972-09-20,11342.0
Du Preez Grobler,Centre,8 June 1977,7.0,unknown,,2003,2003-10-10,Namibia,1977-06-08,9620.0
Regardt Kruger,Centre,26 September 1981,1.0,unknown,,2003,2003-10-10,Namibia,1981-09-26,8049.0
Deon Mouton,Wing,20 November 1974,12.0,Kudus,Namibia,2003,2003-10-10,Namibia,1974-11-20,10551.0
Melrick Africa,Wing,18 January 1978,3.0,Reho Falcons,Namibia,2003,2003-10-10,Namibia,1978-01-18,9396.0
Niel Swanepoel,Wing,17 July 1980,0.0,unknown,,2003,2003-10-10,Namibia,1980-07-17,8485.0
Vincent Dreyer,Fullback,8 October 1978,1.0,unknown,,2003,2003-10-10,Namibia,1978-10-08,9133.0
Jurie Booysen,Fullback,30 July 1981,2.0,unknown,,2003,2003-10-10,Namibia,1981-07-30,8107.0
Deon Grunschloss,Fullback,7 April 1973,0.0,unknown,,2003,2003-10-10,Namibia,1973-04-07,11143.0
Yannick Bru,Hooker,22 May 1973,8.0,Toulouse,France,2003,2003-10-10,France,1973-05-22,11098.0
Raphaël Ibañez,Hooker,17 February 1973,66.0,Castres,France,2003,2003-10-10,France,1973-02-17,11192.0
Jean-Jacques Crenca,Prop,3 April 1969,28.0,Agen,France,2003,2003-10-10,France,1969-04-03,12608.0
Jean-Baptiste Poux,Prop,26 September 1979,7.0,Toulouse,France,2003,2003-10-10,France,1979-09-26,8780.0
Olivier Milloud,Prop,9 December 1975,10.0,Bourgoin,France,2003,2003-10-10,France,1975-12-09,10167.0
Sylvain Marconnet,Prop,8 April 1976,33.0,Stade Français,France,2003,2003-10-10,France,1976-04-08,10046.0
Fabien Pelous,Lock,7 December 1973,80.0,Toulouse,France,2003,2003-10-10,France,1973-12-07,10899.0
Jérôme Thion,Lock,2 December 1977,5.0,Perpignan,France,2003,2003-10-10,France,1977-12-02,9443.0
David Auradou,Lock,13 November 1973,34.0,Stade Français,France,2003,2003-10-10,France,1973-11-13,10923.0
Olivier Brouzet,Lock,22 November 1972,66.0,Stade Français,France,2003,2003-10-10,France,1972-11-22,11279.0
Serge Betsen,Back row,25 March 1974,31.0,Biarritz,France,2003,2003-10-10,France,1974-03-25,10791.0
Patrick Tabacco,Back row,23 April 1974,12.0,Stade Français,France,2003,2003-10-10,France,1974-04-23,10762.0
Pépito Elhorga,Back row,6 January 1978,6.0,Biarritz,France,2003,2003-10-10,France,1978-01-06,9408.0
Olivier Magne,Back row,11 April 1973,66.0,Aurillac,France,2003,2003-10-10,France,1973-04-11,11139.0
Christian Labit,Back row,11 February 1971,12.0,Toulouse,France,2003,2003-10-10,France,1971-02-11,11929.0
Sébastien Chabal,Back row,8 December 1977,17.0,Bourgoin,France,2003,2003-10-10,France,1977-12-08,9437.0
Imanol Harinordoquy,Back row,20 February 1980,20.0,Pau,France,2003,2003-10-10,France,1980-02-20,8633.0
Fabien Galthié (c),Scrum-half,20 March 1969,59.0,Stade Français,France,2003,2003-10-10,France,1969-03-20,12622.0
Dimitri Yachvili,Scrum-half,19 September 1980,7.0,Biarritz,France,2003,2003-10-10,France,1980-09-19,8421.0
Frédéric Michalak,Fly-half,16 October 1982,12.0,Toulouse,France,2003,2003-10-10,France,1982-10-16,7664.0
Gérald Merceron,Fly-half,25 February 1973,26.0,Toulon,France,2003,2003-10-10,France,1973-02-25,11184.0
Damien Traille,Centre,12 June 1979,24.0,Pau,France,2003,2003-10-10,France,1979-06-12,8886.0
Brian Liebenberg,Centre,19 September 1979,3.0,Stade Français,France,2003,2003-10-10,France,1979-09-19,8787.0
Yannick Jauzion,Centre,28 July 1978,10.0,Toulouse,France,2003,2003-10-10,France,1978-07-28,9205.0
Tony Marsh,Centre,12 August 1972,11.0,Clermont,France,2003,2003-10-10,France,1972-08-12,11381.0
Xavier Garbajosa,Wing,5 December 1976,32.0,Toulouse,France,2003,2003-10-10,France,1976-12-05,9805.0
Aurélien Rougerie,Wing,26 September 1980,22.0,Clermont,France,2003,2003-10-10,France,1980-09-26,8414.0
Christophe Dominici,Wing,20 May 1972,30.0,Stade Français,France,2003,2003-10-10,France,1972-05-20,11465.0
Clément Poitrenaud,Fullback,20 May 1982,11.0,Toulouse,France,2003,2003-10-10,France,1982-05-20,7813.0
Nicolas Brusque,Fullback,7 August 1976,11.0,Biarritz,France,2003,2003-10-10,France,1976-08-07,9925.0
Gordon Bulloch,Hooker,26 March 1975,55.0,Glasgow Warriors,Scotland,2003,2003-10-10,Scotland,1975-03-26,10425.0
Dougie Hall,Hooker,24 September 1980,1.0,Edinburgh,Scotland,2003,2003-10-10,Scotland,1980-09-24,8416.0
Robbie Russell,Hooker,1 May 1976,15.0,Saracens,England,2003,2003-10-10,Scotland,1976-05-01,10023.0
Bruce Douglas,Prop,10 February 1980,12.0,Border Reivers,Scotland,2003,2003-10-10,Scotland,1980-02-10,8643.0
Allan Jacobsen,Prop,22 September 1978,3.0,Edinburgh,Scotland,2003,2003-10-10,Scotland,1978-09-22,9149.0
Gordon McIlwham,Prop,13 November 1969,15.0,Munster,Ireland,2003,2003-10-10,Scotland,1969-11-13,12384.0
Tom Smith,Prop,31 October 1971,46.0,Northampton Saints,England,2003,2003-10-10,Scotland,1971-10-31,11667.0
Stuart Grimes,Lock,4 April 1974,51.0,Newcastle Falcons,England,2003,2003-10-10,Scotland,1974-04-04,10781.0
Nathan Hines,Lock,29 November 1976,14.0,Edinburgh,Scotland,2003,2003-10-10,Scotland,1976-11-29,9811.0
Scott Murray,Lock,15 January 1976,51.0,Edinburgh,Scotland,2003,2003-10-10,Scotland,1976-01-15,10130.0
Cameron Mather,Back row,20 August 1972,4.0,Edinburgh,Scotland,2003,2003-10-10,Scotland,1972-08-20,11373.0
Martin Leslie,Back row,25 October 1971,35.0,Edinburgh,Scotland,2003,2003-10-10,Scotland,1971-10-25,11673.0
Jason White,Back row,17 April 1978,27.0,Glasgow Warriors,Scotland,2003,2003-10-10,Scotland,1978-04-17,9307.0
Ross Beattie,Back row,15 November 1977,6.0,Bristol,England,2003,2003-10-10,Scotland,1977-11-15,9460.0
Jon Petrie,Back row,19 October 1976,22.0,Glasgow Warriors,Scotland,2003,2003-10-10,Scotland,1976-10-19,9852.0
Simon Taylor,Back row,17 August 1979,25.0,Edinburgh,Scotland,2003,2003-10-10,Scotland,1979-08-17,8820.0
Bryan Redpath (c),Scrum-half,2 July 1971,55.0,Sale Sharks,England,2003,2003-10-10,Scotland,1971-07-02,11788.0
Mike Blair,Scrum-half,20 April 1981,7.0,Edinburgh,Scotland,2003,2003-10-10,Scotland,1981-04-20,8208.0
Graeme Beveridge,Scrum-half,17 February 1976,5.0,Glasgow Warriors,Scotland,2003,2003-10-10,Scotland,1976-02-17,10097.0
Gregor Townsend,Fly-half,26 April 1973,77.0,Border Reivers,Scotland,2003,2003-10-10,Scotland,1973-04-26,11124.0
Gordon Ross,Fly-half,8 March 1978,9.0,Leeds Tykes,England,2003,2003-10-10,Scotland,1978-03-08,9347.0
Andy Craig,Centre,16 March 1976,14.0,Orrell,England,2003,2003-10-10,Scotland,1976-03-16,10069.0
Andrew Henderson,Centre,3 February 1980,10.0,Glasgow Warriors,Scotland,2003,2003-10-10,Scotland,1980-02-03,8650.0
Ben Hinshelwood,Centre,22 March 1977,5.0,Worcester Warriors,England,2003,2003-10-10,Scotland,1977-03-22,9698.0
James McLaren,Centre,28 July 1972,26.0,Bordeaux-Bègles,France,2003,2003-10-10,Scotland,1972-07-28,11396.0
Simon Danielli,Wing,8 September 1979,2.0,Bath,England,2003,2003-10-10,Scotland,1979-09-08,8798.0
Kenny Logan,Wing,3 April 1972,65.0,London Wasps,England,2003,2003-10-10,Scotland,1972-04-03,11512.0
Nikki Walker,Wing,5 March 1982,3.0,Border Reivers,Scotland,2003,2003-10-10,Scotland,1982-03-05,7889.0
Chris Paterson,Fullback,30 March 1978,35.0,Edinburgh,Scotland,2003,2003-10-10,Scotland,1978-03-30,9325.0
Glenn Metcalfe,Fullback,15 April 1970,36.0,Glasgow Warriors,Scotland,2003,2003-10-10,Scotland,1970-04-15,12231.0
Isaia Rasila,Hooker,29 April 1969,32.0,Nadroga,Fiji,2003,2003-10-10,Fiji,1969-04-29,12582.0
Bill Gadolo,Hooker,1 May 1977,7.0,Nadroga,Fiji,2003,2003-10-10,Fiji,1977-05-01,9658.0
Greg Smith (c),Hooker,14 July 1974,40.0,Waikato,New Zealand,2003,2003-10-10,Fiji,1974-07-14,10680.0
Richard Nyholt,Prop,25 October 1975,11.0,University of Queensland,Australia,2003,2003-10-10,Fiji,1975-10-25,10212.0
Joeli Veitayaki,Prop,12 January 1967,45.0,King Country,New Zealand,2003,2003-10-10,Fiji,1967-01-12,13420.0
Nacanieli Seru,Prop,20 July 1969,2.0,Suva,Fiji,2003,2003-10-10,Fiji,1969-07-20,12500.0
Kele Leawere,Lock,27 April 1974,5.0,Nadroga,Fiji,2003,2003-10-10,Fiji,1974-04-27,10758.0
Emori Katalau,Lock,9 April 1967,47.0,Llanelli,Wales,2003,2003-10-10,Fiji,1967-04-09,13333.0
Ifereimi Rawaqa,Lock,20 September 1980,8.0,Lautoka,Fiji,2003,2003-10-10,Fiji,1980-09-20,8420.0
Vula Maimuri,Lock,3 November 1975,1.0,North Harbour,New Zealand,2003,2003-10-10,Fiji,1975-11-03,10203.0
Apenisa Naevo,Lock,24 February 1973,31.0,Counties Manukau,New Zealand,2003,2003-10-10,Fiji,1973-02-24,11185.0
Alifereti Doviverata,Back row,14 June 1976,24.0,Yamaha Júbilo,Japan,2003,2003-10-10,Fiji,1976-06-14,9979.0
Kitione Salawa,Back row,26 July 1976,4.0,Gaunavou,Fiji,2003,2003-10-10,Fiji,1976-07-26,9937.0
Sisa Koyamaibole,Back row,6 March 1981,18.0,Toyota Industries Shuttles,Japan,2003,2003-10-10,Fiji,1981-03-06,8253.0
Koli Sewabu,Back row,15 January 1975,21.0,Yamaha Júbilo,Japan,2003,2003-10-10,Fiji,1975-01-15,10495.0
Setareki Tawake,Back row,1 March 1969,22.0,Suva,Fiji,2003,2003-10-10,Fiji,1969-03-01,12641.0
Alfie Mocelutu,Back row,9 July 1971,34.0,City of Derry,Ireland,2003,2003-10-10,Fiji,1971-07-09,11781.0
Samisoni Rabaka,Scrum-half,19 April 1969,27.0,Nadi,Fiji,2003,2003-10-10,Fiji,1969-04-19,12592.0
Mosese Rauluni,Scrum-half,27 June 1975,18.0,Brisbane Easts,Australia,2003,2003-10-10,Fiji,1975-06-27,10332.0
Nicky Little,Fly-half,13 September 1976,49.0,Sale Sharks,England,2003,2003-10-10,Fiji,1976-09-13,9888.0
Waisale Serevi,Fly-half,20 May 1968,36.0,Stade Montois,France,2003,2003-10-10,Fiji,1968-05-20,12926.0
Seru Rabeni,Centre,27 December 1978,11.0,Otago,New Zealand,2003,2003-10-10,Fiji,1978-12-27,9053.0
Saimoni Rokini,Centre,9 December 1972,10.0,Naitasiri,Fiji,2003,2003-10-10,Fiji,1972-12-09,11262.0
Epeli Ruivadra,Centre,1 June 1977,5.0,Tailevu,Fiji,2003,2003-10-10,Fiji,1977-06-01,9627.0
Isa Nacewa,Centre,22 July 1982,0.0,Auckland,New Zealand,2003,2003-10-10,Fiji,1982-07-22,7750.0
Rupeni Caucaunibuca,Wing,5 July 1980,2.0,Blues,New Zealand,2003,2003-10-10,Fiji,1980-07-05,8497.0
Aisea Tuilevu,Wing,13 July 1972,14.0,North Harbour,New Zealand,2003,2003-10-10,Fiji,1972-07-13,11411.0
Marika Vunibaka,Wing,3 November 1974,14.0,Canterbury,New Zealand,2003,2003-10-10,Fiji,1974-11-03,10568.0
Vilimoni Delasau,Wing,12 July 1977,14.0,Stade Montois,France,2003,2003-10-10,Fiji,1977-07-12,9586.0
Norman Ligairi,Fullback,29 January 1976,21.0,Harlequins,England,2003,2003-10-10,Fiji,1976-01-29,10116.0
Alfred Uluinayau,Fullback,20 February 1970,29.0,Suntory Sungoliath,Japan,2003,2003-10-10,Fiji,1970-02-20,12285.0
Kirk Khasigian,Hooker,27 April 1977,33.0,Belmont Shore,United States,2003,2003-10-10,United States,1977-04-27,9662.0
Matthew Wyatt,Hooker,4 March 1978,3.0,OMBAC,United States,2003,2003-10-10,United States,1978-03-04,9351.0
Daniel Dorsey,Prop,18 January 1976,16.0,unknown,,2003,2003-10-10,United States,1976-01-18,10127.0
Richard Liddington,Prop,30 December 1978,2.0,Exeter Chiefs,England,2003,2003-10-10,United States,1978-12-30,9050.0
Mike MacDonald,Prop,27 November 1980,21.0,University of California,United States,2003,2003-10-10,United States,1980-11-27,8352.0
John Tarpoff,Prop,5 April 1980,8.0,OMBAC,United States,2003,2003-10-10,United States,1980-04-05,8588.0
Jacob Waasdorp,Prop,18 October 1978,4.0,Trinity College,United States,2003,2003-10-10,United States,1978-10-18,9123.0
Luke Gross,Lock,21 November 1969,58.0,Rotherham,England,2003,2003-10-10,United States,1969-11-21,12376.0
Gerhard Klerck,Lock,6 December 1975,2.0,Gentlemen of Aspen,United States,2003,2003-10-10,United States,1975-12-06,10170.0
Alec Parker,Lock,10 April 1974,35.0,Gentlemen of Aspen,United States,2003,2003-10-10,United States,1974-04-10,10775.0
Todd Clever,Back row,16 January 1983,1.0,"University of Nevada, Reno",United States,2003,2003-10-10,United States,1983-01-16,7572.0
Oloseti Fifita,Back row,6 December 1968,16.0,Hayward Griffins,United States,2003,2003-10-10,United States,1968-12-06,12726.0
Jurie Gouws,Back row,4 April 1973,5.0,Santa Monica,United States,2003,2003-10-10,United States,1973-04-04,11146.0
Dave Hodges (c),Back row,15 September 1969,47.0,Llanelli,Wales,2003,2003-10-10,United States,1969-09-15,12443.0
Kort Schubert,Back row,24 July 1979,27.0,Olympic Club,United States,2003,2003-10-10,United States,1979-07-24,8844.0
Dan Lyle,Back row,28 September 1970,41.0,Leicester Tigers,England,2003,2003-10-10,United States,1970-09-28,12065.0
Kevin Dalzell,Scrum-half,25 January 1974,38.0,OMBAC,United States,2003,2003-10-10,United States,1974-01-25,10850.0
Mose Timoteo,Scrum-half,7 September 1976,18.0,Golden Gate,United States,2003,2003-10-10,United States,1976-09-07,9894.0
Kimball Kjar,Scrum-half,23 March 1978,11.0,Brigham Young University,United States,2003,2003-10-10,United States,1978-03-23,9332.0
Mike Hercus,Fly-half,5 June 1979,12.0,Belmont Shore,United States,2003,2003-10-10,United States,1979-06-05,8893.0
Matt Sherman,Fly-half,29 October 1978,2.0,University of California,United States,2003,2003-10-10,United States,1978-10-29,9112.0
Link Wilfley,Fly-half,5 July 1979,19.0,unknown,,2003,2003-10-10,United States,1979-07-05,8863.0
Kain Cross,Centre,4 February 1974,8.0,Santa Monica,United States,2003,2003-10-10,United States,1974-02-04,10840.0
Philip Eloff,Centre,17 September 1978,24.0,Chicago Lions,United States,2003,2003-10-10,United States,1978-09-17,9154.0
Salesi Sika,Centre,7 July 1980,0.0,Brigham Young University,United States,2003,2003-10-10,United States,1980-07-07,8495.0
Jason Keyter,Wing,20 December 1973,15.0,Rotherham,England,2003,2003-10-10,United States,1973-12-20,10886.0
David Fee,Wing,15 December 1976,13.0,Chicago Lions,United States,2003,2003-10-10,United States,1976-12-15,9795.0
Riaan van Zyl,Wing,9 July 1972,7.0,Old Puget Sound Beach,United States,2003,2003-10-10,United States,1972-07-09,11415.0
Paul Emerick,Fullback,24 January 1980,5.0,Chicago Lions,United States,2003,2003-10-10,United States,1980-01-24,8660.0
John Buchholz,Fullback,26 February 1979,5.0,Olympic Club,United States,2003,2003-10-10,United States,1979-02-26,8992.0
Masao Amino,Hooker,14 October 1974,7.0,NEC Green Rockets,Japan,2003,2003-10-10,Japan,1974-10-14,10588.0
Masaaki Sakata,Hooker,25 November 1972,27.0,Suntory Sungoliath,Japan,2003,2003-10-10,Japan,1972-11-25,11276.0
Shin Hasegawa,Prop,31 March 1972,36.0,Suntory Sungoliath,Japan,2003,2003-10-10,Japan,1972-03-31,11515.0
Masahiko Toyoyama,Prop,18 August 1976,21.0,Toyota Industries Shuttles,Japan,2003,2003-10-10,Japan,1976-08-18,9914.0
Ryō Yamamura,Prop,9 August 1981,5.0,Kanto Gakuin University,Japan,2003,2003-10-10,Japan,1981-08-09,8097.0
Hajime Kiso,Lock,7 November 1978,7.0,Yamaha Júbilo,Japan,2003,2003-10-10,Japan,1978-11-07,9103.0
Koichi Kubo,Lock,13 January 1976,15.0,Yamaha Júbilo,Japan,2003,2003-10-10,Japan,1976-01-13,10132.0
Adam Parker,Lock,21 April 1973,13.0,Toshiba Brave Lupus,Japan,2003,2003-10-10,Japan,1973-04-21,11129.0
Hiroyuki Tanuma,Lock,24 May 1973,41.0,Suntory Sungoliath,Japan,2003,2003-10-10,Japan,1973-05-24,11096.0
Naoya Okubo,Back row,27 September 1975,16.0,Suntory Sungoliath,Japan,2003,2003-10-10,Japan,1975-09-27,10240.0
Ryota Asano,Back row,25 September 1979,2.0,NEC Green Rockets,Japan,2003,2003-10-10,Japan,1979-09-25,8781.0
Takuro Miuchi (c),Back row,11 December 1975,11.0,NEC Green Rockets,Japan,2003,2003-10-10,Japan,1975-12-11,10165.0
Yasunori Watanabe,Back row,2 June 1974,22.0,Toshiba Brave Lupus,Japan,2003,2003-10-10,Japan,1974-06-02,10722.0
Takahiro Hayano,Back row,6 September 1974,0.0,Suntory Sungoliath,Japan,2003,2003-10-10,Japan,1974-09-06,10626.0
Takeomi Ito,Back row,11 April 1971,50.0,Kobelco Steelers,Japan,2003,2003-10-10,Japan,1971-04-11,11870.0
Yuya Saito,Back row,28 April 1977,12.0,Colomiers,France,2003,2003-10-10,Japan,1977-04-28,9661.0
Yuji Sonoda,Scrum-half,5 July 1973,14.0,Kobelco Steelers,Japan,2003,2003-10-10,Japan,1973-07-05,11054.0
Takashi Tsuji,Scrum-half,24 April 1977,0.0,NEC Green Rockets,Japan,2003,2003-10-10,Japan,1977-04-24,9665.0
Keiji Hirose,Fly-half,16 April 1973,36.0,Toyota Industries Shuttles,Japan,2003,2003-10-10,Japan,1973-04-16,11134.0
Andrew Miller,Fly-half,13 September 1972,6.0,Kobelco Steelers,Japan,2003,2003-10-10,Japan,1972-09-13,11349.0
George Konia,Centre,9 August 1969,3.0,NEC Green Rockets,Japan,2003,2003-10-10,Japan,1969-08-09,12480.0
Yukio Motoki,Centre,27 August 1971,61.0,Kobelco Steelers,Japan,2003,2003-10-10,Japan,1971-08-27,11732.0
Hideki Nanba,Centre,8 July 1976,23.0,Toyota Industries Shuttles,Japan,2003,2003-10-10,Japan,1976-07-08,9955.0
Reuben Parkinson,Centre,19 July 1973,3.0,Munakata Sanix Blues,Japan,2003,2003-10-10,Japan,1973-07-19,11040.0
Junichi Hojo,Wing,20 May 1977,0.0,Suntory Sungoliath,Japan,2003,2003-10-10,Japan,1977-05-20,9639.0
Toru Kurihara,Wing,12 August 1978,24.0,Suntory Sungoliath,Japan,2003,2003-10-10,Japan,1978-08-12,9190.0
Daisuke Ohata,Wing,11 November 1975,36.0,Kobelco Steelers,Japan,2003,2003-10-10,Japan,1975-11-11,10195.0
Hirotoki Onozawa,Wing,29 March 1978,13.0,Suntory Sungoliath,Japan,2003,2003-10-10,Japan,1978-03-29,9326.0
Tsutomu Matsuda,Fullback,30 April 1970,40.0,Toshiba Brave Lupus,Japan,2003,2003-10-10,Japan,1970-04-30,12216.0
Takashi Yoshida,Fullback,11 May 1975,4.0,Suntory Sungoliath,Japan,2003,2003-10-10,Japan,1975-05-11,10379.0
Mark Regan,Hooker,28 January 1972,26.0,Leeds Tykes,England,2003,2003-10-10,England,1972-01-28,11578.0
Steve Thompson,Hooker,15 July 1978,18.0,Northampton Saints,England,2003,2003-10-10,England,1978-07-15,9218.0
Dorian West,Hooker,5 October 1967,19.0,Leicester Tigers,England,2003,2003-10-10,England,1967-10-05,13154.0
Jason Leonard,Prop,14 August 1968,106.0,Harlequins,England,2003,2003-10-10,England,1968-08-14,12840.0
Phil Vickery,Prop,14 March 1976,31.0,Gloucester,England,2003,2003-10-10,England,1976-03-14,10071.0
Julian White,Prop,14 May 1973,17.0,Leicester Tigers,England,2003,2003-10-10,England,1973-05-14,11106.0
Trevor Woodman,Prop,4 August 1976,10.0,Gloucester,England,2003,2003-10-10,England,1976-08-04,9928.0
Martin Johnson (c),Lock,9 March 1970,77.0,Leicester Tigers,England,2003,2003-10-10,England,1970-03-09,12268.0
Ben Kay,Lock,14 December 1975,22.0,Leicester Tigers,England,2003,2003-10-10,England,1975-12-14,10162.0
Danny Grewcock,Lock,7 November 1972,42.0,Bath,England,2003,2003-10-10,England,1972-11-07,11294.0
Simon Shaw1,Lock,1 September 1973,23.0,London Wasps,England,2003,2003-10-10,England,1973-09-01,10996.0
Neil Back,Back row,16 January 1969,60.0,Leicester Tigers,England,2003,2003-10-10,England,1969-01-16,12685.0
Richard Hill,Back row,23 May 1973,60.0,Saracens,England,2003,2003-10-10,England,1973-05-23,11097.0
Lewis Moody,Back row,12 June 1978,17.0,Leicester Tigers,England,2003,2003-10-10,England,1978-06-12,9251.0
Joe Worsley,Back row,14 June 1977,27.0,London Wasps,England,2003,2003-10-10,England,1977-06-14,9614.0
Lawrence Dallaglio,Back row,10 August 1972,58.0,London Wasps,England,2003,2003-10-10,England,1972-08-10,11383.0
Martin Corry,Back row,12 October 1973,28.0,Leicester Tigers,England,2003,2003-10-10,England,1973-10-12,10955.0
Kyran Bracken,Scrum-half,22 November 1971,47.0,Saracens,England,2003,2003-10-10,England,1971-11-22,11645.0
Matt Dawson,Scrum-half,31 October 1972,57.0,Northampton Saints,England,2003,2003-10-10,England,1972-10-31,11301.0
Andy Gomarsall,Scrum-half,24 July 1974,13.0,Gloucester,England,2003,2003-10-10,England,1974-07-24,10670.0
Paul Grayson,Fly-half,30 May 1971,27.0,Northampton Saints,England,2003,2003-10-10,England,1971-05-30,11821.0
Jonny Wilkinson,Fly-half,25 May 1979,46.0,Newcastle Falcons,England,2003,2003-10-10,England,1979-05-25,8904.0
Stuart Abbott,Centre,3 June 1978,2.0,London Wasps,England,2003,2003-10-10,England,1978-06-03,9260.0
Will Greenwood,Centre,20 October 1972,41.0,Harlequins,England,2003,2003-10-10,England,1972-10-20,11312.0
Mike Catt,Centre,17 September 1971,61.0,Bath,England,2003,2003-10-10,England,1971-09-17,11711.0
Mike Tindall,Centre,18 October 1978,27.0,Bath,England,2003,2003-10-10,England,1978-10-18,9123.0
Ben Cohen,Wing,14 September 1978,57.0,Northampton Saints,England,2003,2003-10-10,England,1978-09-14,9157.0
Dan Luger,Wing,11 January 1975,34.0,Perpignan,France,2003,2003-10-10,England,1975-01-11,10499.0
Jason Robinson,Wing,30 July 1974,21.0,Sale Sharks,England,2003,2003-10-10,England,1974-07-30,10664.0
Josh Lewsey,Fullback,30 November 1976,13.0,London Wasps,England,2003,2003-10-10,England,1976-11-30,9810.0
Iain Balshaw,Fullback,14 April 1979,16.0,Bath,England,2003,2003-10-10,England,1979-04-14,8945.0
Dale Santon,Hooker,18 August 1969,1.0,SWD Eagles,South Africa,2003,2003-10-10,South Africa,1969-08-18,12471.0
Danie Coetzee,Hooker,2 September 1977,8.0,Bulls,South Africa,2003,2003-10-10,South Africa,1977-09-02,9534.0
John Smit,Hooker,3 April 1978,21.0,Sharks,South Africa,2003,2003-10-10,South Africa,1978-04-03,9321.0
Richard Bands,Prop,25 March 1974,7.0,Bulls,South Africa,2003,2003-10-10,South Africa,1974-03-25,10791.0
Christo Bezuidenhout,Prop,14 May 1970,3.0,Pumas,South Africa,2003,2003-10-10,South Africa,1970-05-14,12202.0
Faan Rautenbach,Prop,22 February 1976,8.0,Western Province,South Africa,2003,2003-10-10,South Africa,1976-02-22,10092.0
Lawrence Sephaka,Prop,8 August 1978,13.0,Cats,South Africa,2003,2003-10-10,South Africa,1978-08-08,9194.0
Selborne Boome,Lock,16 April 1975,17.0,Western Province,South Africa,2003,2003-10-10,South Africa,1975-04-16,10404.0
